add,58
add.ovf,D6
add.ovf.un,D7
and,5F
arglist,FE 00
beq,3B
beq.s,2E
bge,3C
bge.s,2F
bge.un,41
bge.un.s,34
bgt,3D
bgt.s,30
bgt.un,42
bgt.un.s,35
ble,3E
ble.s,31
ble.un,43
ble.un.s,36
blt,3F
blt.s,32
blt.un,44
blt.un.s,37
bne.un,40
bne.un.s,33
box,8C
br,38
br.s,2B
break,01
brfalse,39
brfalse.s,2C
brinst,3A
brinst.s,2D
brnull,39
brnull.s,2C
brtrue,3A
brtrue.s,2D
brzero,39
brzero.s,2C
call,28
calli,29
callvirt,6F
castclass,74
ceq,FE 01
cgt,FE 02
cgt.un,FE 03
ckfinite,C3
clt,FE 04
clt.un,FE 05
conv.i,D3
conv.i1,67
conv.i2,68
conv.i4,69
conv.i8,6A
conv.ovf.i,D4
conv.ovf.i.un,8A
conv.ovf.i1,B3
conv.ovf.i1.un,82
conv.ovf.i2,B5
conv.ovf.i2.un,83
conv.ovf.i4,B7
conv.ovf.i4.un,84
conv.ovf.i8,B9
conv.ovf.i8.un,85
conv.ovf.u,D5
conv.ovf.u.un,8B
conv.ovf.u1,B4
conv.ovf.u1.un,86
conv.ovf.u2,B6
conv.ovf.u2.un,87
conv.ovf.u4,B8
conv.ovf.u4.un,88
conv.ovf.u8,BA
conv.ovf.u8.un,89
conv.r.un,76
conv.r4,6B
conv.r8,6C
conv.u,E0
conv.u1,D2
conv.u2,D1
conv.u4,6D
conv.u8,6E
cpblk,FE 17
cpobj,70
div,5B
div.un,5C
dup,25
endfault,DC
endfilter,FE 11
endfinally,DC
initblk,FE 18
isinst,75
jmp,27
ldarg.0,02
ldarg.1,03
ldarg.2,04
ldarg.3,05
ldarg.s,0E
ldarga.s,0F
ldc.i4,20
ldc.i4.0,16
ldc.i4.1,17
ldc.i4.2,18
ldc.i4.3,19
ldc.i4.4,1A
ldc.i4.5,1B
ldc.i4.6,1C
ldc.i4.7,1D
ldc.i4.8,1E
ldc.i4.m1,15
ldc.i4.M1,15
ldc.i4.s,1F
ldc.i8,21
ldc.r4,22
ldc.r8,23
ldelem,A3
ldelem.i,97
ldelem.i1,90
ldelem.i2,92
ldelem.i4,94
ldelem.i8,96
ldelem.r4,98
ldelem.r8,99
ldelem.ref,9A
ldelem.u1,91
ldelem.u2,93
ldelem.u4,95
ldelem.u8,96
ldelema,8F
ldfld,7B
ldflda,7C
ldind.i,4D
ldind.i1,46
ldind.i2,48
ldind.i4,4A
ldind.i8,4C
ldind.r4,4E
ldind.r8,4F
ldind.ref,50
ldind.u1,47
ldind.u2,49
ldind.u4,4B
ldind.u8,4C
ldlen,8E
ldloc.0,06
ldloc.1,07
ldloc.2,08
ldloc.3,09
ldloc.s,11
ldloca.s,12
ldnull,14
ldobj,71
ldsfld,7E
ldsflda,7F
ldstr,72
ldtoken,D0
leave,DD
leave.s,DE
localloc,FE 0F
mkrefany,C6
mul,5A
mul.ovf,D8
mul.ovf.un,D9
neg,65
newarr,8D
newobj,73
nop,00
not,66
or,60
pop,26
readonly,FE 1E
refanytype,FE 1D
refanyval,C2
rem,5D
rem.un,5E
ret,2A
rethrow,FE 1A
shl,62
shr,63
shr.un,64
starg.s,10
stelem,A4
stelem.i,9B
stelem.i1,9C
stelem.i2,9D
stelem.i4,9E
stelem.i8,9F
stelem.r4,A0
stelem.r8,A1
stelem.ref,A2
stfld,7D
stind.i,DF
stind.i1,52
stind.i2,53
stind.i4,54
stind.i8,55
stind.r4,56
stind.r8,57
stind.ref,51
stloc.0,0A
stloc.1,0B
stloc.2,0C
stloc.3,0D
stloc.s,13
stobj,81
stsfld,80
sub,59
sub.ovf,DA
sub.ovf.un,DB
switch,45
tail,FE 14
throw,7A
unaligned,FE 12
unbox,79
unbox.any,A5
volatile,FE 13
xor,61